Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,year,home_team_week,away_team_week,home_team_att,away_team_att,home_team_def,away_team_def
19/08/00,Charlton,Man City,4,0,H,2,0,H,2000,1,1,1.631578947368421,1.105263157894737,1.0,1.7894736842105263
19/08/00,Chelsea,West Ham,4,2,H,1,0,H,2000,1,1,2.3157894736842106,1.105263157894737,1.0526315789473684,1.5789473684210527
19/08/00,Coventry,Middlesbrough,1,3,A,1,1,D,2000,1,1,0.7368421052631579,1.368421052631579,1.2105263157894737,1.105263157894737
19/08/00,Derby,Southampton,2,2,D,1,2,A,2000,1,1,1.2105263157894737,0.6842105263157895,1.263157894736842,1.368421052631579
19/08/00,Leeds,Everton,2,0,H,2,0,H,2000,1,1,1.894736842105263,0.8421052631578947,1.105263157894737,1.6842105263157894
19/08/00,Leicester,Aston Villa,0,0,D,0,0,D,2000,1,1,1.4736842105263157,1.0,1.2105263157894737,1.2105263157894737
19/08/00,Liverpool,Bradford,1,0,H,0,0,D,2000,1,1,2.1052631578947367,0.5263157894736842,0.7368421052631579,2.1578947368421053
19/08/00,Sunderland,Arsenal,1,0,H,0,0,D,2000,1,1,1.263157894736842,0.9473684210526315,0.8421052631578947,1.3157894736842106
19/08/00,Tottenham,Ipswich,3,1,H,2,1,H,2000,1,1,1.631578947368421,1.368421052631579,0.8421052631578947,1.4210526315789473
20/08/00,Man United,Newcastle,2,0,H,1,0,H,2000,1,1,2.5789473684210527,0.9473684210526315,0.631578947368421,1.736842105263158
21/08/00,Arsenal,Liverpool,2,0,H,1,0,H,2000,2,2,2.3684210526315788,1.631578947368421,0.6842105263157895,1.3157894736842106
22/08/00,Bradford,Chelsea,2,0,H,1,0,H,2000,2,2,1.0526315789473684,1.263157894736842,1.5263157894736843,1.3157894736842106
22/08/00,Ipswich,Man United,1,1,D,1,1,D,2000,2,2,1.631578947368421,1.5789473684210527,0.7894736842105263,1.0
22/08/00,Middlesbrough,Tottenham,1,1,D,0,1,A,2000,2,2,0.9473684210526315,0.8421052631578947,1.2105263157894737,2.0
23/08/00,Everton,Charlton,3,0,H,0,0,D,2000,2,2,1.5263157894736843,1.0,1.4210526315789473,2.0
23/08/00,Man City,Sunderland,4,2,H,2,0,H,2000,2,2,1.0526315789473684,1.1578947368421053,1.631578947368421,1.3157894736842106
23/08/00,Newcastle,Derby,3,2,H,1,1,D,2000,2,2,1.368421052631579,0.7368421052631579,0.8947368421052632,1.8421052631578947
23/08/00,Southampton,Coventry,1,2,A,0,1,A,2000,2,2,1.4210526315789473,1.1578947368421053,1.1578947368421053,2.1052631578947367
23/08/00,West Ham,Leicester,0,1,A,0,0,D,2000,2,2,1.263157894736842,0.5789473684210527,1.0526315789473684,1.4736842105263157
26/08/00,Arsenal,Charlton,5,3,H,1,2,A,2000,3,3,2.3684210526315788,1.0,0.6842105263157895,2.0
26/08/00,Bradford,Leicester,0,0,D,0,0,D,2000,3,3,1.0526315789473684,0.5789473684210527,1.5263157894736843,1.4736842105263157
26/08/00,Everton,Derby,2,2,D,2,0,H,2000,3,3,1.5263157894736843,0.7368421052631579,1.4210526315789473,1.8421052631578947
26/08/00,Ipswich,Sunderland,1,0,H,0,0,D,2000,3,3,1.631578947368421,1.1578947368421053,0.7894736842105263,1.3157894736842106
26/08/00,Man City,Coventry,1,2,A,0,2,A,2000,3,3,1.0526315789473684,1.1578947368421053,1.631578947368421,2.1052631578947367
26/08/00,Middlesbrough,Leeds,1,2,A,0,2,A,2000,3,2,0.9473684210526315,1.4736842105263157,1.2105263157894737,1.1578947368421053
26/08/00,Newcastle,Tottenham,2,0,H,1,0,H,2000,3,3,1.368421052631579,0.8421052631578947,0.8947368421052632,2.0
26/08/00,Southampton,Liverpool,3,3,D,0,1,A,2000,3,3,1.4210526315789473,1.631578947368421,1.1578947368421053,1.3157894736842106
26/08/00,West Ham,Man United,2,2,D,0,1,A,2000,3,3,1.263157894736842,1.5789473684210527,1.0526315789473684,1.0
27/08/00,Aston Villa,Chelsea,1,1,D,1,1,D,2000,2,3,1.4210526315789473,1.263157894736842,1.0526315789473684,1.3157894736842106
05/09/00,Leeds,Man City,1,2,A,0,2,A,2000,3,4,1.894736842105263,1.105263157894737,1.105263157894737,1.7894736842105263
05/09/00,Man United,Bradford,6,0,H,2,0,H,2000,4,4,2.5789473684210527,0.5263157894736842,0.631578947368421,2.1578947368421053
05/09/00,Sunderland,West Ham,1,1,D,1,1,D,2000,4,4,1.263157894736842,1.105263157894737,0.8421052631578947,1.5789473684210527
05/09/00,Tottenham,Everton,3,2,H,1,2,A,2000,4,4,1.631578947368421,0.8421052631578947,0.8421052631578947,1.6842105263157894
06/09/00,Charlton,Southampton,1,1,D,0,0,D,2000,4,4,1.631578947368421,0.6842105263157895,1.0,1.368421052631579
06/09/00,Chelsea,Arsenal,2,2,D,1,0,H,2000,4,4,2.3157894736842106,0.9473684210526315,1.0526315789473684,1.3157894736842106
06/09/00,Coventry,Newcastle,0,2,A,0,1,A,2000,4,4,0.7368421052631579,0.9473684210526315,1.2105263157894737,1.736842105263158
06/09/00,Derby,Middlesbrough,3,3,D,0,1,A,2000,4,4,1.2105263157894737,1.368421052631579,1.263157894736842,1.105263157894737
06/09/00,Leicester,Ipswich,2,1,H,0,0,D,2000,4,4,1.4736842105263157,1.368421052631579,1.2105263157894737,1.4210526315789473
06/09/00,Liverpool,Aston Villa,3,1,H,3,0,H,2000,4,3,2.1052631578947367,1.0,0.7368421052631579,1.2105263157894737
