B365H,B365D,B365A
2.0,3.25,3.4
2.5,3.2,2.6
2.1,3.25,3.2
1.286,5.0,8.5
1.5,3.5,7.0
1.143,6.5,15.0
1.667,3.4,5.0
2.3,3.25,2.8
1.5,3.6,6.5
2.6,3.2,2.5
2.0,3.25,3.4
1.533,3.4,6.5
1.667,3.4,5.0
2.75,3.2,2.375
4.0,3.4,1.8
5.0,3.4,1.667
1.28,4.5,10.0
2.8,3.25,2.3
2.3,3.2,2.87
5.0,3.6,1.61
1.53,3.6,6.0
2.37,3.2,2.75
1.61,3.4,5.5
1.83,3.25,4.0
1.83,3.25,4.0
2.6,3.2,2.5
1.9,3.25,3.75
2.3,3.25,2.8
2.1,3.25,3.2
1.3,4.5,9.5
1.5,3.6,6.5
2.25,3.25,2.87
2.0,3.25,3.4
6.5,3.6,1.5
2.0,3.25,3.4
2.3,3.25,2.8
1.53,3.5,5.5
1.9,3.25,3.75
1.61,3.6,5.0
1.33,4.33,8.5
6.5,3.6,1.5
1.8,3.2,4.33
1.8,3.4,4.0
4.33,3.2,1.8
1.83,3.25,4.0
1.72,3.4,4.5
1.61,3.6,5.0
2.5,3.3,2.5
2.5,3.3,2.5
1.3,4.5,9.5
1.72,3.5,4.33
2.1,3.25,3.2
2.25,3.25,2.87
3.25,3.5,2.0
1.8,3.4,4.0
4.33,3.5,1.72
4.33,3.5,1.72
2.2,3.2,3.0
1.57,3.6,5.5
5.0,3.6,1.61
1.66,3.4,5.0
2.5,3.3,2.5
4.0,3.25,1.83
2.25,3.0,3.1
2.0,3.25,3.4
2.6,3.2,2.5
1.9,3.25,3.75
2.5,3.2,2.6
2.0,3.25,3.4
2.4,3.2,2.7
1.5,3.5,7.0
1.5,3.5,7.0
1.25,5.0,10.0
1.53,3.6,6.0
2.0,3.25,3.4
2.1,3.25,3.2
5.0,3.6,1.61
1.83,3.25,4.0
4.5,3.4,1.72
5.5,3.6,1.57
1.25,5.0,10.0
1.72,3.4,4.5
1.57,3.6,5.5
2.2,3.4,2.87
1.72,3.4,4.5
2.7,3.25,2.37
2.5,3.3,2.5
1.9,3.25,3.75
1.4,3.75,8.5
2.0,3.25,3.4
2.37,3.2,2.75
2.25,3.25,2.87
1.83,3.25,4.0
2.6,3.2,2.5
1.61,3.6,5.0
2.75,3.2,2.37
1.44,3.8,7.0
2.25,3.25,2.87
4.5,3.4,1.72
1.66,3.4,5.0
2.2,3.2,3.0
2.7,3.25,2.37
1.25,5.0,10.0
2.8,3.25,2.3
1.8,3.4,4.0
4.5,3.4,1.72
1.9,3.25,3.75
1.83,3.25,4.0
2.25,3.25,2.87
2.1,3.25,3.2
2.25,3.25,2.87
1.61,3.4,5.5
1.8,3.4,4.0
3.75,3.25,1.9
1.33,4.33,8.5
2.37,3.25,2.7
1.57,3.6,5.5
1.9,3.25,3.75
2.2,3.2,3.0
1.8,3.2,4.33
6.5,3.6,1.5
6.5,3.4,1.53
1.28,4.5,10.0
1.72,3.4,4.5
2.25,3.4,2.75
1.66,3.4,5.0
2.3,3.4,2.7
2.25,3.25,2.87
1.286,4.5,10.0
2.25,3.25,2.875
1.571,3.4,6.0
1.4,3.75,8.5
2.1,3.25,3.2
1.615,3.4,5.5
2.2,3.2,3.0
1.364,4.333,7.5
1.727,3.4,4.5
2.5,3.2,2.6
1.909,3.3,4.0
5.0,3.6,1.667
2.875,3.3,2.375
1.8,3.4,4.0
4.5,3.4,1.8
1.727,3.4,5.0
5.5,3.6,1.615
1.909,3.3,4.0
1.167,6.5,15.0
2.25,3.25,3.1
2.25,3.25,3.1
5.5,3.4,1.667
2.2,3.25,3.2
2.3,3.25,3.0
3.25,3.4,2.1
1.667,3.6,5.0
1.25,5.5,10.0
2.5,3.25,2.7
2.2,3.25,3.2
1.8,3.4,4.5
1.25,5.5,11.0
2.1,3.25,3.4
2.87,3.25,2.37
5.0,3.6,1.66
1.61,3.6,5.5
2.3,3.25,3.0
2.62,3.25,2.6
4.5,3.6,1.72
1.66,3.4,5.5
6.5,3.5,1.57
1.8,3.4,4.5
5.5,3.4,1.66
2.3,3.25,3.0
2.2,3.25,3.2
1.53,3.6,7.0
1.8,3.4,4.5
2.2,3.25,3.2
2.87,3.25,2.4
1.28,5.0,10.0
2.1,3.25,3.4
2.1,3.25,3.4
1.57,3.5,6.5
2.1,3.25,3.4
2.5,3.25,2.7
1.66,3.4,5.5
2.5,3.25,2.7
6.0,3.5,1.61
1.44,4.0,7.5
1.83,3.25,4.5
2.25,3.25,3.1
2.1,3.25,3.4
1.72,3.3,5.0
1.72,3.3,5.0
2.87,3.25,2.37
8.5,4.5,1.36
5.5,3.4,1.66
1.3,4.5,12.0
1.66,3.4,5.5
4.5,3.4,1.8
2.7,3.25,2.5
1.8,3.3,4.5
2.375,3.25,2.875
2.5,3.25,2.7
2.5,3.25,2.7
1.727,3.4,5.0
1.25,5.5,10.0
1.909,3.25,4.0
1.25,5.5,10.0
4.5,3.3,1.8
1.615,3.4,6.0
3.1,3.2,2.25
5.5,3.6,1.615
1.909,3.25,4.0
1.4,4.333,7.5
2.1,3.25,3.4
1.667,3.4,5.5
9.0,4.0,1.4
1.364,4.333,9.0
2.0,3.4,3.5
1.25,5.0,13.0
2.1,3.25,3.4
2.7,3.25,2.5
2.1,3.25,3.4
2.87,3.25,2.37
2.1,3.25,3.4
2.2,3.25,3.2
1.61,3.6,5.5
1.25,5.5,11.0
5.5,3.6,1.61
2.2,3.25,3.2
2.2,3.25,3.2
2.625,3.2,2.6
1.222,5.5,13.0
1.727,3.4,5.0
2.0,3.2,3.75
2.6,3.2,2.625
2.1,3.1,3.6
1.571,3.5,6.5
1.286,5.0,10.0
2.1,3.25,3.4
2.375,3.25,2.875
5.0,3.6,1.667
2.2,3.25,3.2
4.333,3.3,1.833
3.2,3.25,2.2
3.2,3.25,2.2
2.1,3.25,3.4
2.1,3.25,3.2
2.2,3.25,2.8
1.571,3.5,6.5
6.5,3.75,1.533
4.5,3.6,1.727
2.2,3.25,3.2
1.727,3.4,5.0
1.833,3.3,4.333
4.0,3.25,1.909
2.875,3.25,2.375
2.5,3.25,2.7
2.7,3.25,2.5
1.44,4.0,7.5
1.222,5.5,13.0
1.8,3.4,4.5
1.444,4.0,7.5
2.5,3.25,2.7
1.364,4.333,9.0
1.444,4.0,7.5
2.2,3.2,3.25
1.727,3.4,5.0
2.6,3.1,2.7
2.5,3.25,2.7
1.833,3.3,4.333
1.8,3.4,4.333
2.2,3.25,3.2
1.25,5.0,13.0
2.2,3.25,3.2
2.0,3.4,3.5
2.25,3.2,3.1
2.1,3.25,3.4
2.875,3.25,2.375
3.4,3.25,2.1
2.25,3.2,3.1
1.909,3.25,4.0
1.615,3.4,6.0
4.0,3.25,1.909
2.5,3.4,2.625
1.909,3.3,4.0
1.615,3.4,6.0
2.0,3.3,3.6
1.909,3.1,4.333
2.2,3.25,3.2
4.5,3.3,1.8
2.1,3.25,3.4
2.5,3.25,2.7
1.8,3.5,4.2
1.364,4.5,8.5
2.3,3.25,3.0
1.615,3.6,5.5
3.2,3.25,2.2
3.5,3.4,2.0
2.0,3.25,3.75
1.615,3.5,6.0
2.1,3.25,3.4
2.375,3.25,2.875
2.2,3.25,3.2
2.4,3.4,2.75
2.2,3.3,3.2
1.286,5.0,10.0
1.333,5.0,8.0
1.909,3.5,3.75
2.25,3.2,3.1
2.1,3.25,3.4
1.444,4.0,7.5
1.615,3.4,6.0
1.909,3.3,4.0
4.5,3.6,1.727
2.75,3.4,2.375
2.375,3.25,2.875
1.4,4.333,7.5
2.2,3.25,3.2
2.25,3.3,3.0
2.5,3.4,2.62
1.8,3.3,4.5
2.3,3.25,3.0
1.9,3.25,4.0
1.61,3.6,5.5
2.1,3.25,3.4
2.7,3.25,2.5
5.5,3.4,1.66
1.36,4.33,9.0
3.75,3.5,1.9
1.8,3.4,4.33
1.53,3.6,6.5
2.62,3.4,2.5
2.2,3.25,3.2
2.5,3.4,2.62
1.66,3.6,5.0
2.25,3.5,2.87
1.57,3.5,6.5
4.5,3.3,1.8
3.4,3.25,2.1
2.25,3.3,3.0
2.6,3.25,2.6
2.4,3.4,2.75
2.25,3.2,3.1
2.1,3.25,3.4
2.87,3.4,2.3
2.3,3.4,2.87
3.25,3.4,2.1
1.3,5.0,9.0
2.87,3.6,2.2
1.25,5.0,13.0
2.2,3.4,3.0
2.1,3.4,3.25
2.0,3.2,3.75
2.0,3.3,3.6
1.33,4.5,9.0
2.0,3.3,3.6
2.1,3.25,3.4
2.25,3.3,3.0
2.37,3.3,2.8
1.9,3.1,4.33
1.8,3.1,5.0
2.25,3.2,3.1
2.1,3.25,3.4
2.3,3.25,3.0
2.1,3.25,3.4
2.4,3.2,2.87
3.1,3.2,2.25
2.1,3.25,3.4
6.0,3.4,1.61
4.5,3.2,1.83
2.0,3.2,3.75
2.3,3.25,3.0
2.25,3.2,3.1
1.57,3.5,6.5
1.25,5.0,13.0
1.66,3.4,5.5
2.3,3.25,3.0
1.36,4.33,9.0
2.87,3.2,2.4
1.9,3.1,4.33
8.5,3.75,1.44
1.28,5.0,10.0
2.5,3.2,2.75
2.5,3.2,2.75
1.44,4.0,7.5
2.25,3.2,3.1
2.75,3.2,2.5
2.4,3.2,2.87
5.0,3.4,1.72
1.28,5.0,10.0
2.0,3.2,3.75
2.25,3.2,3.1
1.44,4.0,7.5
9.0,4.33,1.36
2.0,3.2,3.75
3.2,3.25,2.2
1.28,5.0,10.0
2.3,3.25,3.0
4.333,3.1,1.909
3.75,3.5,1.909
7.0,3.6,1.533
1.444,3.75,8.5
1.909,3.1,4.333
1.909,3.1,4.333
1.667,3.4,5.5
1.8,3.5,4.333
1.571,3.5,6.5
1.833,3.3,4.333
1.25,5.0,13.0
1.9,3.1,4.33
2.2,3.25,3.2
2.6,3.2,2.62
2.75,3.2,2.5
2.5,3.2,2.75
1.5,3.6,7.5
2.5,3.2,2.75
2.87,3.25,2.37
2.0,3.2,3.75
1.5,3.6,7.5
2.0,3.2,3.75
2.0,3.2,3.75
1.4,4.0,9.0
6.5,3.5,1.57
3.5,3.2,2.1
1.5,3.75,7.0
3.4,3.25,2.1
2.25,3.2,3.1
2.1,3.25,3.4
1.28,5.0,10.0
2.37,3.25,2.87
2.25,3.2,3.1
2.37,3.25,2.87
2.37,3.25,2.87
2.75,3.2,2.5
2.62,3.2,2.6
1.8,3.1,5.0
1.4,4.0,9.0
2.62,3.2,2.6
1.3,5.0,9.5
5.5,3.2,1.72
2.5,3.2,2.75
1.61,3.6,5.5
1.72,3.4,5.0
3.4,3.25,2.1
5.5,3.2,1.72
2.1,3.25,3.4
2.75,3.2,2.5
2.6,3.2,2.62
1.8,3.3,4.5
1.28,5.0,10.0
2.3,3.25,3.0
1.5,3.6,7.5
2.75,3.2,2.5
1.9,3.25,4.0
2.62,3.0,2.75
1.66,3.4,5.5
1.66,3.4,5.5
2.5,3.2,2.75
1.16,6.5,15.0
1.83,3.25,4.5
5.0,3.1,1.8
2.6,3.2,2.62
2.1,3.2,3.5
2.5,3.2,2.75
5.5,3.4,1.66
7.5,4.0,1.44
2.5,3.2,2.75
1.72,3.4,5.0
1.83,3.3,4.33
1.4,4.0,9.0
7.5,4.0,1.44
1.5,3.6,7.5
2.3,3.25,3.0
2.0,3.2,3.75
1.9,3.1,4.33
1.4,4.0,9.0
2.0,3.2,3.75
1.57,3.5,6.5
2.37,3.1,3.0
2.25,3.2,3.1
1.8,3.1,5.0
6.0,3.2,1.66
1.5,3.5,8.0
1.8,3.4,4.5
2.4,3.2,2.87
5.5,3.2,1.72
3.0,3.25,2.3
3.1,3.1,2.3
1.16,6.5,15.0
1.36,4.33,9.0
3.1,3.2,2.25
1.83,3.25,4.5
1.33,4.5,9.5
2.5,3.2,2.75
2.37,3.1,3.0
2.3,3.25,3.0
2.3,3.1,3.1
2.0,3.2,3.75
1.83,3.25,4.5
1.61,3.4,6.0
6.5,3.5,1.57
1.9,3.3,4.0
2.3,3.25,3.0
2.0,3.2,3.75
7.0,3.6,1.53
3.4,3.25,2.1
1.83,3.25,4.5
2.5,3.1,2.8
1.33,4.5,9.5
2.5,3.2,2.75
2.5,3.2,2.75
1.44,4.0,7.5
2.0,3.2,3.75
1.22,5.5,13.0
2.37,3.25,2.87
1.83,3.3,4.33
2.37,3.2,2.9
1.83,3.25,4.5
2.3,3.25,3.0
2.6,3.2,2.62
2.1,3.25,3.4
1.57,3.5,6.5
2.75,3.2,2.5
2.87,3.2,2.4
2.5,3.1,2.8
2.5,3.1,2.8
2.0,3.1,4.0
6.5,3.5,1.57
1.44,4.0,7.5
1.8,3.1,5.0
2.75,3.2,2.5
2.2,3.2,3.25
1.16,6.5,15.0
1.22,5.5,13.0
1.9,3.1,4.33
1.72,3.4,5.0
1.9,3.1,4.33
6.5,3.5,1.57
2.0,3.2,3.75
1.25,5.0,13.0
2.62,3.2,2.62
2.6,3.25,2.6
1.3,4.5,12.0
2.5,3.2,2.75
1.9,3.25,4.0
1.28,5.0,10.0
3.0,3.25,2.3
2.6,3.25,2.6
5.5,3.4,1.66
4.75,3.5,1.72
2.0,3.2,3.75
2.62,3.2,2.6
2.37,3.2,2.9
1.36,4.33,9.0
1.53,3.75,6.5
1.5,3.75,7.0
6.5,3.75,1.53
1.57,3.5,6.5
3.75,3.5,1.9
1.9,3.1,4.33
1.66,3.4,5.5
6.0,3.4,1.61
2.0,3.2,3.75
3.1,3.2,2.25
1.72,3.4,5.0
3.5,3.2,2.1
1.9,3.1,4.33
1.66,3.4,5.5
2.25,3.2,3.1
2.3,3.2,2.7
2.5,3.2,2.5
4.33,3.4,1.66
3.6,3.4,1.83
1.28,4.5,9.0
1.8,3.25,4.0
1.36,4.0,7.5
1.72,3.25,4.33
1.4,3.75,7.5
2.37,3.2,2.62
1.72,3.4,5.0
6.5,3.5,1.57
2.2,3.1,3.4
2.62,3.2,2.6
1.72,3.4,5.0
1.57,3.5,6.5
2.2,3.1,3.4
4.5,3.25,1.83
1.8,3.1,5.0
2.2,3.1,3.4
1.9,3.1,4.33
1.2,6.0,13.0
3.1,3.2,2.25
1.83,3.3,4.33
1.33,4.5,9.5
3.1,3.2,2.25
4.5,3.25,1.83
3.0,3.25,2.3
1.44,4.0,7.5
2.3,3.1,3.1
2.25,3.1,3.2
2.37,3.25,2.87
2.87,3.2,2.4
2.6,3.2,2.62
2.2,3.2,3.25
1.9,3.1,4.33
7.0,3.75,1.5
1.57,3.4,7.0
2.25,3.2,3.1
2.37,3.25,2.87
4.5,3.4,1.8
2.5,3.25,2.75
1.5,3.75,7.0
1.28,5.0,10.0
1.8,3.4,4.5
1.8,3.4,4.5
2.3,3.25,3.0
1.72,3.4,5.0
1.25,5.5,11.0
2.63,3.2,2.63
3.2,3.2,2.2
1.8,3.4,4.5
2.1,3.2,3.5
4.5,3.25,1.83
2.3,3.25,3.0
4.5,3.4,1.8
1.22,5.5,13.0
2.3,3.25,3.0
2.25,3.2,3.1
2.6,3.2,2.62
1.22,5.5,13.0
6.5,3.5,1.57
1.8,3.1,5.0
1.9,3.1,4.33
1.83,3.3,4.33
2.6,3.2,2.62
1.36,4.33,9.0
2.3,3.25,3.0
7.5,3.6,1.5
2.3,3.25,3.0
2.4,3.2,2.87
7.5,4.33,1.4
2.5,3.2,2.75
1.72,3.4,5.0
2.75,3.2,2.5
2.25,3.2,3.1
1.2,6.0,13.0
2.37,3.25,2.87
1.57,3.5,6.5
4.5,3.4,1.8
1.57,3.6,6.0
1.66,3.4,5.5
1.2,6.0,13.0
1.25,5.0,13.0
2.75,3.2,2.5
1.83,3.3,4.33
2.3,3.1,3.1
1.9,3.1,4.33
1.8,3.4,4.5
1.2,6.0,13.0
2.37,3.2,2.9
2.0,3.2,3.75
2.37,3.2,2.9
1.83,3.25,4.5
1.28,5.0,10.0
1.72,3.4,5.0
6.5,3.5,1.57
2.1,3.25,3.4
2.75,3.2,2.5
2.1,3.2,3.5
1.72,3.4,5.0
1.25,5.5,11.0
2.87,3.2,2.4
5.0,3.1,1.8
7.5,4.0,1.44
2.3,3.25,3.0
1.83,3.25,4.5
1.66,3.4,5.5
2.1,3.25,3.4
1.9,3.1,4.33
2.4,3.2,2.87
2.0,3.2,3.75
2.3,3.25,3.0
1.83,3.25,4.5
2.2,3.2,3.25
1.61,3.6,5.5
1.83,3.3,4.33
1.9,3.1,4.33
1.9,3.3,4.0
2.1,3.2,3.5
4.0,3.3,1.9
2.0,3.2,3.75
2.5,3.4,2.62
3.2,3.25,2.2
1.66,3.4,5.5
2.37,3.25,2.87
2.3,3.25,3.0
1.28,5.0,10.0
3.75,3.5,1.9
1.66,3.4,5.5
1.9,3.3,4.0
2.25,3.4,3.0
1.36,4.5,8.5
2.25,3.25,3.1
1.5,3.75,7.0
2.1,3.25,3.5
2.25,3.25,3.1
2.2,3.2,3.25
3.75,3.2,2.0
2.75,3.2,2.5
1.72,3.4,5.0
1.72,3.4,5.0
1.83,3.3,4.33
2.0,3.4,3.5
6.0,3.4,1.61
1.9,3.3,4.0
5.0,3.6,1.66
2.2,3.4,2.75
2.37,3.25,2.87
2.1,3.25,3.4
1.28,5.0,10.0
2.2,3.4,3.0
1.72,3.4,5.0
1.3,5.0,9.0
2.25,3.2,3.1
1.9,3.5,3.75
2.75,3.4,2.4
1.72,3.4,5.0
2.2,3.25,3.2
1.61,3.6,5.5
3.4,3.5,2.0
1.9,3.4,4.0
3.0,3.5,2.2
2.8,3.5,2.3
1.66,3.4,5.5
2.1,3.1,3.6
3.2,3.25,2.2
2.37,3.6,2.62
1.57,3.5,6.5
1.57,3.75,6.0
2.3,3.25,3.0
5.0,3.4,1.72
2.37,3.25,2.87
1.72,3.4,5.0
2.87,3.2,2.4
2.75,3.2,2.5
2.37,3.2,2.9
2.5,3.2,2.75
1.4,4.2,8.0
10.0,4.5,1.33
2.2,3.2,3.25
2.0,3.2,3.75
1.8,3.4,4.33
1.28,5.0,10.0
1.22,5.5,13.0
1.61,3.6,5.5
1.9,3.3,4.0
2.2,3.2,3.25
2.1,3.2,3.5
2.0,3.2,3.75
2.5,3.2,2.75
2.5,3.2,2.75
2.75,3.2,2.5
1.22,5.5,13.0
2.62,3.2,2.6
2.3,3.25,3.0
1.2,5.5,17.0
2.1,3.25,3.4
2.5,3.2,2.75
1.61,3.6,5.5
4.33,3.3,1.83
2.37,3.1,3.0
2.5,3.2,2.75
2.1,3.25,3.4
1.83,3.3,4.33
5.0,3.6,1.66
2.37,3.25,2.87
1.12,7.5,19.0
1.72,3.3,5.0
1.4,3.75,10.0
5.0,3.3,1.72
1.61,3.4,6.0
2.5,3.2,2.75
2.0,3.2,3.75
2.0,3.2,3.75
2.5,3.2,2.75
2.6,3.25,2.6
6.0,3.6,1.57
2.2,3.1,3.3
2.3,3.25,3.0
2.37,3.2,2.9
2.4,3.25,2.8
2.7,3.1,2.6
2.1,3.25,3.4
2.7,3.1,2.6
1.4,4.0,9.0
3.4,3.25,2.1
1.72,3.4,5.0
1.22,5.5,13.0
1.9,3.25,4.0
1.3,4.33,13.0
2.1,3.25,3.4
2.75,3.2,2.5
5.0,3.4,1.72
1.57,3.5,6.5
1.61,3.4,6.0
1.8,3.3,4.5
2.5,3.2,2.75
5.0,3.6,1.66
2.8,3.25,2.4
2.5,3.2,2.75
1.33,4.5,9.5
2.1,3.25,3.4
3.25,3.0,2.3
1.83,3.3,4.33
2.6,3.2,2.62
1.28,4.5,13.0
1.61,3.4,6.0
1.72,3.3,4.5
7.5,3.6,1.5
1.61,3.4,6.0
6.0,3.4,1.61
2.6,3.25,2.6
2.37,3.1,3.0
1.9,3.25,4.0
1.83,3.25,4.5
1.5,3.75,7.0
2.0,3.2,3.75
2.0,3.2,3.75
3.5,3.2,2.1
1.61,3.4,6.0
2.6,3.25,2.6
1.72,3.4,5.0
9.0,4.33,1.36
1.66,3.4,5.5
2.37,3.25,2.87
2.3,3.25,3.0
2.1,3.2,3.5
1.22,5.5,13.0
1.57,3.5,6.5
4.5,3.3,1.8
2.25,3.2,3.1
2.8,3.1,2.5
2.1,3.2,3.5
3.0,3.25,2.3
1.83,3.25,4.5
1.2,6.0,13.0
3.2,3.25,2.2
2.3,3.1,3.1
2.5,3.2,2.75
1.61,3.4,6.0
2.3,3.25,3.0
1.83,3.3,4.33
2.5,3.2,2.75
3.25,3.2,2.2
2.4,3.25,2.62
4.0,3.25,1.9
1.33,4.5,9.5
1.4,4.0,9.0
1.9,3.25,4.0
2.5,3.2,2.75
2.5,3.2,2.75
4.5,3.3,1.8
1.9,3.25,4.0
1.66,3.4,5.5
1.36,4.33,9.0
2.25,3.2,3.1
2.8,3.1,2.5
9.0,4.33,1.36
2.5,3.2,2.75
2.75,3.2,2.5
2.5,3.2,2.75
2.37,3.25,2.87
1.72,3.4,5.0
5.0,3.3,1.72
7.0,3.75,1.5
2.0,3.2,3.75
4.33,3.3,1.83
1.25,5.0,13.0
1.53,3.5,7.0
1.2,5.5,17.0
1.72,3.4,5.0
1.33,4.33,10.0
2.37,3.2,2.9
2.4,3.2,2.87
2.3,3.25,3.0
2.3,3.25,3.0
2.0,3.2,3.75
1.83,3.3,4.33
1.66,3.4,5.5
1.2,5.5,17.0
1.57,3.6,6.0
4.0,3.25,1.9
2.8,3.25,2.4
1.3,4.5,12.0
1.44,4.0,7.5
2.1,3.2,3.5
1.3,4.5,11.0
5.5,3.4,1.66
2.37,3.25,2.87
2.3,3.25,3.0
1.8,3.2,5.0
2.2,3.2,3.25
2.5,3.2,2.75
2.3,3.25,3.0
2.87,3.1,2.5
2.5,3.2,2.75
2.1,3.2,3.5
5.0,3.4,1.72
1.2,5.5,17.0
1.66,3.4,5.5
1.22,5.5,13.0
2.0,3.2,3.75
2.37,3.2,2.9
4.0,3.25,1.9
1.5,3.75,7.0
2.4,3.2,2.87
1.22,5.5,13.0
7.5,4.33,1.4
5.0,3.4,1.72
2.1,3.25,3.4
6.0,3.6,1.57
3.4,3.25,2.1
2.1,3.25,3.4
5.5,3.6,1.61
2.2,3.25,3.2
1.14,7.0,17.0
1.22,5.5,13.0
1.4,4.33,7.5
2.25,3.25,3.1
2.4,3.2,2.87
2.6,3.25,2.6
2.0,3.2,3.75
2.2,3.2,3.25
2.4,3.2,2.87
1.66,3.4,5.5
3.75,3.2,2.0
2.3,3.25,3.0
1.57,3.5,6.5
2.1,3.1,3.6
2.5,3.2,2.75
9.0,4.0,1.4
2.62,3.1,2.75
2.5,3.1,2.8
1.33,4.33,8.0
2.0,3.2,3.75
2.1,3.25,3.4
2.0,3.2,3.75
2.37,3.25,2.87
1.66,3.4,5.5
4.5,3.3,1.8
2.2,3.25,3.2
17.0,5.5,1.2
1.83,3.3,4.33
2.1,3.2,3.5
2.25,3.2,3.1
5.5,3.5,1.66
2.2,3.2,3.25
2.3,3.25,3.0
1.61,3.4,6.0
1.72,3.4,5.0
1.16,6.5,15.0
2.3,3.1,3.1
2.1,3.2,3.5
1.83,3.3,4.33
2.75,3.2,2.5
2.75,3.2,2.5
2.25,3.1,3.2
1.4,4.33,7.5
7.5,4.0,1.44
4.0,3.25,1.9
1.3,4.5,12.0
2.1,3.25,3.4
2.8,3.25,2.4
3.5,3.2,2.1
1.9,3.25,4.0
2.2,3.2,3.25
1.3,4.5,12.0
2.25,3.2,3.1
1.8,3.3,4.5
2.9,3.2,2.37
1.5,3.75,7.0
1.9,3.0,4.5
1.8,3.2,4.75
4.5,3.3,1.8
1.5,4.0,6.0
2.2,3.2,3.25
2.25,3.2,3.1
1.83,3.3,4.33
7.5,4.33,1.4
6.0,3.8,1.53
3.75,3.2,2.0
1.9,3.25,4.0
6.0,3.6,1.57
1.9,3.25,4.0
2.1,3.1,3.6
1.5,3.75,7.0
1.66,3.6,5.0
1.9,3.25,4.0
1.66,3.4,5.5
3.1,3.25,2.25
2.1,3.25,3.4
1.14,7.0,17.0
2.1,3.2,3.5
1.8,3.3,4.5
1.53,3.8,6.0
2.4,3.25,2.8
1.72,3.6,4.5
3.2,3.25,2.2
1.5,3.75,7.0
1.9,3.3,4.0
2.3,3.25,3.0
8.5,4.1,1.4
2.1,3.25,3.4
1.4,4.33,7.5
1.9,3.3,4.0
5.0,3.6,1.66
2.0,3.2,3.75
1.83,3.25,4.5
2.0,3.25,3.75
1.44,4.0,7.5
1.83,3.25,4.5
2.8,3.25,2.4
3.0,3.25,2.3
2.25,3.2,3.1
2.2,3.2,3.2
1.4,4.33,7.5
1.36,4.33,9.0
1.3,4.5,9.5
3.25,3.2,2.2
1.83,3.25,4.5
1.33,4.5,9.5
1.8,3.3,4.5
2.1,3.2,3.5
6.0,4.0,1.5
2.0,3.2,3.75
8.0,4.2,1.4
2.87,3.25,2.37
2.0,3.2,3.75
1.25,5.0,13.0
1.57,3.6,6.0
5.0,3.6,1.66
2.0,3.2,3.75
2.3,3.25,3.0
1.18,6.0,17.0
2.6,3.2,2.62
1.44,4.0,7.5
1.28,5.5,8.5
1.28,5.0,10.0
9.0,5.0,1.3
4.0,3.25,1.9
1.36,4.33,9.0
1.9,3.3,4.0
2.62,3.2,2.6
6.0,3.8,1.53
2.0,3.25,3.75
2.1,3.2,3.5
1.8,3.3,4.5
2.75,3.2,2.5
2.3,3.1,3.1
2.5,3.2,2.75
1.61,3.6,5.5
1.9,3.4,3.8
1.9,3.25,4.0
1.25,5.5,13.0
1.44,4.2,7.0
2.1,3.2,3.5
2.4,3.2,2.87
5.0,3.6,1.66
1.1,8.0,26.0
1.22,5.5,13.0
5.5,3.6,1.61
2.5,3.25,2.7
2.0,3.25,3.75
1.83,3.3,4.33
1.72,3.6,4.5
2.1,3.2,3.5
2.4,3.0,3.0
3.25,3.2,2.2
2.25,3.25,2.8
1.2,5.5,11.0
2.5,3.25,2.5
4.0,3.2,1.83
3.2,3.2,2.1
2.5,3.25,2.5
1.9,3.25,3.6
2.5,3.25,2.5
1.66,3.4,5.5
1.83,3.3,4.33
2.1,3.25,3.4
1.8,3.3,4.5
1.36,4.33,9.0
2.0,3.2,3.75
2.1,3.25,3.4
4.75,3.5,1.72
2.5,3.2,2.75
2.75,3.2,2.5
2.1,3.1,3.6
1.36,4.33,9.0
1.9,3.25,4.0
2.5,3.2,2.75
2.4,3.25,2.8
1.61,3.6,5.5
1.25,5.5,10.0
10.0,5.0,1.28
2.3,3.25,3.0
3.0,3.4,2.2
1.57,3.8,5.5
5.5,3.6,1.61
3.2,3.25,2.2
1.2,6.0,13.0
1.53,3.8,6.0
1.66,3.4,5.5
1.61,3.6,5.5
1.66,3.4,5.5
1.66,3.4,5.5
1.2,6.0,13.0
3.0,3.25,2.3
5.0,3.8,1.61
4.5,3.6,1.72
1.28,4.5,13.0
2.62,3.2,2.6
1.66,3.4,5.5
1.72,3.5,4.75
2.3,3.1,3.1
2.5,3.1,2.8
6.0,3.8,1.53
2.0,3.2,3.75
1.22,5.5,13.0
1.22,5.5,13.0
1.5,3.75,7.0
2.87,3.2,2.4
1.9,3.25,4.0
2.3,3.1,3.1
7.5,3.6,1.5
2.4,3.2,2.87
2.2,3.1,3.1
8.5,3.75,1.44
2.5,3.1,2.8
1.9,3.25,4.0
1.44,4.0,7.5
5.5,3.6,1.61
1.72,3.4,5.0
7.5,4.33,1.4
1.9,3.25,4.0
2.37,3.1,3.0
6.5,3.6,1.53
2.0,3.2,3.75
1.33,4.33,10.0
1.66,3.4,5.5
1.2,5.5,17.0
3.75,3.2,2.0
1.5,3.75,7.0
1.72,3.4,5.0
1.83,3.25,4.5
2.62,3.2,2.62
2.1,3.2,3.5
2.3,3.1,3.1
2.0,3.2,3.75
2.3,3.25,3.0
1.72,3.4,5.0
2.5,3.1,2.8
2.75,3.2,2.5
2.0,3.2,3.75
1.83,3.25,4.5
1.9,3.25,4.0
1.61,3.4,6.0
